settlement_id	languages	names_ara_common	names_ara_common_other	names_ara_search	names_ara_translit	names_ara_translit_other	names_eng_common	names_eng_common_other	names_eng_search	names_eng_translit	names_eng_translit_other	region_URI	source	top_type	coordinates
ROUTPOINT0606_579E326N_O	['ara', 'eng']	RoutPoint0606	RoutPoint0606	RoutPoint0606					RoutPoint0606	RoutPoint0606	RoutPoint0606	Mafaza_RE	cornuData	xroads	[57.9121, 32.63282]
ROUTPOINT0706_583E235N_O	['ara', 'eng']	RoutPoint0706	RoutPoint0706	RoutPoint0706					RoutPoint0706	RoutPoint0706	RoutPoint0706	JaziratArab_RE	cornuData	xroads	[58.36603, 23.53921]
ROUTPOINT1702_592E359N_O	['ara', 'eng']	RoutPoint1702	RoutPoint1702	RoutPoint1702					RoutPoint1702	RoutPoint1702	RoutPoint1702	Khurasan_RE	cornuData	xroads	[59.25769, 35.96126]
ROUTPOINT1701_596E367N_O	['ara', 'eng']	RoutPoint1701	RoutPoint1701	RoutPoint1701					RoutPoint1701	RoutPoint1701	RoutPoint1701	Khurasan_RE	cornuData	xroads	[59.64504, 36.75977]
ROUTPOINT1219_060E360N_O	['ara', 'eng']	RoutPoint1219	RoutPoint1219	RoutPoint1219					RoutPoint1219	RoutPoint1219	RoutPoint1219	Maghrib_RE	cornuData	xroads	[6.09115, 36.06846]
ROUTPOINT1718_608E348N_O	['ara', 'eng']	RoutPoint1718	RoutPoint1718	RoutPoint1718					RoutPoint1718	RoutPoint1718	RoutPoint1718	Khurasan_RE	cornuData	xroads	[60.86446, 34.83238]
ROUTPOINT1909_613E262N_O	['ara', 'eng']	RoutPoint1909	RoutPoint1909	RoutPoint1909					RoutPoint1909	RoutPoint1909	RoutPoint1909	Sind_RE	cornuData	xroads	[61.37513, 26.22872]
ROUTPOINT1910_615E271N_O	['ara', 'eng']	RoutPoint1910	RoutPoint1910	RoutPoint1910					RoutPoint1910	RoutPoint1910	RoutPoint1910	Sind_RE	cornuData	xroads	[61.5595, 27.19216]
ROUTPOINT1916_617E308N_O	['ara', 'eng']	RoutPoint1916	RoutPoint1916	RoutPoint1916					RoutPoint1916	RoutPoint1916	RoutPoint1916	Sijistan_RE	cornuData	xroads	[61.70041, 30.83356]
ROUTPOINT1908_617E261N_O	['ara', 'eng']	RoutPoint1908	RoutPoint1908	RoutPoint1908					RoutPoint1908	RoutPoint1908	RoutPoint1908	Sind_RE	cornuData	xroads	[61.73465, 26.12472]
ROUTPOINT1917_617E309N_O	['ara', 'eng']	RoutPoint1917	RoutPoint1917	RoutPoint1917					RoutPoint1917	RoutPoint1917	RoutPoint1917	Sijistan_RE	cornuData	xroads	[61.73531, 30.90872]
ROUTPOINT1703_621E343N_O	['ara', 'eng']	RoutPoint1703	RoutPoint1703	RoutPoint1703					RoutPoint1703	RoutPoint1703	RoutPoint1703	Khurasan_RE	cornuData	xroads	[62.15348, 34.3747]
ROUTPOINT1919_623E301N_O	['ara', 'eng']	RoutPoint1919	RoutPoint1919	RoutPoint1919					RoutPoint1919	RoutPoint1919	RoutPoint1919	Sijistan_RE	cornuData	xroads	[62.3935, 30.19274]
ROUTPOINT1717_624E402N_O	['ara', 'eng']	RoutPoint1717	RoutPoint1717	RoutPoint1717					RoutPoint1717	RoutPoint1717	RoutPoint1717	Mawarannahr_RE	cornuData	xroads	[62.43972, 40.23741]
ROUTPOINT1705_626E363N_O	['ara', 'eng']	RoutPoint1705	RoutPoint1705	RoutPoint1705					RoutPoint1705	RoutPoint1705	RoutPoint1705	Khurasan_RE	cornuData	xroads	[62.61914, 36.30715]
ROUTPOINT1722_639E399N_O	['ara', 'eng']	RoutPoint1722	RoutPoint1722	RoutPoint1722					RoutPoint1722	RoutPoint1722	RoutPoint1722	Mawarannahr_RE	cornuData	xroads	[63.9644, 39.96155]
ROUTPOINT1704_649E359N_O	['ara', 'eng']	RoutPoint1704	RoutPoint1704	RoutPoint1704					RoutPoint1704	RoutPoint1704	RoutPoint1704	Khurasan_RE	cornuData	xroads	[64.92682, 35.96204]
ROUTPOINT1907_652E262N_O	['ara', 'eng']	RoutPoint1907	RoutPoint1907	RoutPoint1907					RoutPoint1907	RoutPoint1907	RoutPoint1907	Sind_RE	cornuData	xroads	[65.22578, 26.22931]
ROUTPOINT1911_653E276N_O	['ara', 'eng']	RoutPoint1911	RoutPoint1911	RoutPoint1911					RoutPoint1911	RoutPoint1911	RoutPoint1911	Sind_RE	cornuData	xroads	[65.31533, 27.67109]
ROUTPOINT1720_654E389N_O	['ara', 'eng']	RoutPoint1720	RoutPoint1720	RoutPoint1720					RoutPoint1720	RoutPoint1720	RoutPoint1720	Mawarannahr_RE	cornuData	xroads	[65.40939, 38.97694]
ROUTPOINT1915_655E314N_O	['ara', 'eng']	RoutPoint1915	RoutPoint1915	RoutPoint1915					RoutPoint1915	RoutPoint1915	RoutPoint1915	Sijistan_RE	cornuData	xroads	[65.57805, 31.48828]
ROUTPOINT1721_657E389N_O	['ara', 'eng']	RoutPoint1721	RoutPoint1721	RoutPoint1721					RoutPoint1721	RoutPoint1721	RoutPoint1721	Mawarannahr_RE	cornuData	xroads	[65.70845, 38.91478]
ROUTPOINT1713_663E386N_O	['ara', 'eng']	RoutPoint1713	RoutPoint1713	RoutPoint1713					RoutPoint1713	RoutPoint1713	RoutPoint1713	Mawarannahr_RE	cornuData	xroads	[66.31703, 38.62997]
ROUTPOINT1914_665E293N_O	['ara', 'eng']	RoutPoint1914	RoutPoint1914	RoutPoint1914					RoutPoint1914	RoutPoint1914	RoutPoint1914	NoRegion	cornuData	xroads	[66.55652, 29.35067]
ROUTPOINT1912_667E277N_O	['ara', 'eng']	RoutPoint1912	RoutPoint1912	RoutPoint1912					RoutPoint1912	RoutPoint1912	RoutPoint1912	Sind_RE	cornuData	xroads	[66.785, 27.77717]
ROUTPOINT1905_677E245N_O	['ara', 'eng']	RoutPoint1905	RoutPoint1905	RoutPoint1905					RoutPoint1905	RoutPoint1905	RoutPoint1905	Sind_RE	cornuData	xroads	[67.71342, 24.53335]
ROUTPOINT1913_678E295N_O	['ara', 'eng']	RoutPoint1913	RoutPoint1913	RoutPoint1913					RoutPoint1913	RoutPoint1913	RoutPoint1913	Sijistan_RE	cornuData	xroads	[67.80363, 29.54677]
